ID,作品中文常用名,Original_or_English_Title,作者中文名,Author,国家_文学传统,原始语言,首次成书_出版时间,时代,体裁,主题_类型标签,Canon_Level,Academic_Canon,Global_Influence,Traditional_Recognition,经典化理由,方法学依据,建议阅读优先级,个人状态,方法学参考来源URL
CANON-196,贝克特三部曲,Molloy; Malone Dies; The Unnamable,塞缪尔·贝克特,Samuel Beckett,爱尔兰/法国,法语,1951—1953,20世纪,小说三部曲,荒诞;语言;主体;现代主义,Core,高,高,高,战后现代主义与荒诞文学的核心小说组；进入跨国世界经典书目。,跨文化正典共识；世界文学史长期稳定；跨国经典丛书/学术教学/世界文学书目多源交叉,1,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-197,保罗·策兰诗选,Selected Poems / Poems,保罗·策兰,Paul Celan,中欧/德语文学,德语,1948—1970,20世纪,诗歌,大屠杀;记忆;语言;创伤,Major,高,中-高,中-高,二战后德语诗歌最重要的声音之一，对现代诗学与记忆书写影响深远。,国家或时期核心正典；经典丛书与文学史长期稳定；具显著跨文化影响,2,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-198,茫茫黑夜漫游,Voyage au bout de la nuit / Journey to the End of the Night,路易-费迪南·塞利纳,Louis-Ferdinand Céline,法国,法语,1932,20世纪,长篇小说,战争;都市;虚无;口语革新,Major,高,中-高,中-高,20世纪法语小说语言革新的标志性作品；文学影响与争议并存。,国家或时期核心正典；经典丛书与文学史长期稳定；具显著跨文化影响,2,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-199,诺斯托罗莫,Nostromo,约瑟夫·康拉德,Joseph Conrad,英国/波兰裔,英语,1904,20世纪初,长篇小说,帝国;资本;革命;殖民,Major,高,中-高,中-高,帝国主义、资本与拉美政治想象的现代主义经典。,国家或时期核心正典；经典丛书与文学史长期稳定；具显著跨文化影响,2,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-200,宿命论者雅克和他的主人,Jacques le fataliste et son maître / Jacques the Fatalist and His Master,德尼·狄德罗,Denis Diderot,法国,法语,1796,18世纪,长篇小说,元小说;自由意志;叙事游戏;启蒙,Major,高,中-高,中-高,启蒙时期最重要的实验小说之一，是后世元小说传统的重要先声。,国家或时期核心正典；经典丛书与文学史长期稳定；具显著跨文化影响,2,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-201,押沙龙，押沙龙！,"Absalom, Absalom!",威廉·福克纳,William Faulkner,美国,英语,1936,20世纪,长篇小说,南方;历史;家族;多重叙事,Major,高,中-高,中-高,福克纳最高成就之一，以复杂视角重构美国南方历史与记忆。,国家或时期核心正典；经典丛书与文学史长期稳定；具显著跨文化影响,2,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-202,吉普赛谣曲,Romancero gitano / Gypsy Ballads,费德里科·加西亚·洛尔卡,Federico García Lorca,西班牙,西班牙语,1928,20世纪,诗集,安达卢西亚;吉普赛;死亡;象征,Major,高,中-高,中-高,20世纪西班牙语诗歌最具国际影响力的诗集之一。,国家或时期核心正典；经典丛书与文学史长期稳定；具显著跨文化影响,2,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-203,广阔的腹地：条条水廊,Grande Sertão: Veredas,若昂·吉马良斯·罗萨,João Guimarães Rosa,巴西,葡萄牙语,1956,20世纪,长篇小说,腹地;暴力;语言实验;命运,Core,高,高,高,巴西现代文学最高正典之一，语言创新与叙事实验使其进入世界文学核心书目。,跨文化正典共识；世界文学史长期稳定；跨国经典丛书/学术教学/世界文学书目多源交叉,1,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-204,山音,Yama no Oto / The Sound of the Mountain,川端康成,Yasunari Kawabata,日本,日语,1949—1954,20世纪,长篇小说,衰老;家庭;自然;无常,Major,高,中-高,中-高,川端成熟期代表作，日本战后文学与审美传统的重要经典。,国家或时期核心正典；经典丛书与文学史长期稳定；具显著跨文化影响,2,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
CANON-205,独立的人们,Sjálfstætt fólk / Independent People,哈尔多尔·拉克斯内斯,Halldór Laxness,冰岛,冰岛语,1934—1935,20世纪,长篇小说,贫困;土地;独立;现代化,Major,高,中-高,中-高,冰岛现代文学的国际代表作，连接民族经验与现代小说传统。,国家或时期核心正典；经典丛书与文学史长期稳定；具显著跨文化影响,2,未标记,https://www.theguardian.com/books/2002/may/09/news.features11; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://pll.harvard.edu/course/masterpieces-of-world-literature
