tradition,slot,priority,candidates
中国文学传统,早期诗歌与礼乐,P0,诗经
中国文学传统,楚辞传统,P1,楚辞|离骚
中国文学传统,先秦历史叙事,P1,左传|战国策
中国文学传统,史传文学,P0,史记
中国文学传统,六朝志怪与笔记,P1,搜神记|世说新语
中国文学传统,唐代诗歌,P0,李白诗选|杜甫诗选|唐诗三百首
中国文学传统,宋词,P0,苏轼词选|李清照词选|宋词三百首
中国文学传统,唐宋古文与散文,P1,前赤壁赋|后赤壁赋|韩愈文选
中国文学传统,元杂剧,P1,窦娥冤|西厢记
中国文学传统,明代戏曲,P1,牡丹亭
中国文学传统,历史演义小说,P0,三国演义
中国文学传统,英雄侠义长篇,P0,水浒传
中国文学传统,神魔小说,P0,西游记
中国文学传统,世情小说,P0,金瓶梅
中国文学传统,文言短篇小说,P1,聊斋志异
中国文学传统,讽刺小说,P1,儒林外史
中国文学传统,古典小说集大成,P0,红楼梦
中国文学传统,现代文学转型,P0,呐喊
中国文学传统,现代长篇小说,P1,子夜|家|骆驼祥子
中国文学传统,当代文学,P1,活着|红高粱家族|兄弟
日本文学传统,早期记纪神话,P1,古事记|日本书纪
日本文学传统,古代和歌,P0,万叶集
日本文学传统,敕撰和歌,P1,古今和歌集
日本文学传统,平安物语,P0,源氏物语
日本文学传统,平安随笔,P0,枕草子
日本文学传统,女性日记文学,P1,蜻蛉日记|和泉式部日记
日本文学传统,中世军记,P0,平家物语
日本文学传统,中世随笔,P1,徒然草|方丈记
日本文学传统,连歌俳谐与俳句,P0,奥之细道|芭蕉俳句集
日本文学传统,江户町人小说,P1,好色一代男|日本永代藏
日本文学传统,净琉璃歌舞伎,P1,曾根崎心中|假名手本忠臣藏
日本文学传统,江户读本,P1,南总里见八犬传
日本文学传统,明治现代小说形成,P0,我是猫|心|舞姬
日本文学传统,大正昭和短篇与现代主义,P1,罗生门|春琴抄|上海
日本文学传统,战前现代小说,P1,雪国|细雪|人间失格
日本文学传统,战后文学,P0,个人的体验|金阁寺|丰饶之海
日本文学传统,当代全球文学,P1,挪威的森林|1Q84|厨房
朝鲜半岛文学传统,古代史书与神话记录,P0,三国遗事|三国史记
朝鲜半岛文学传统,乡歌传统,P1,乡歌集|处容歌
朝鲜半岛文学传统,高丽歌谣,P1,青山别曲|西京别曲
朝鲜半岛文学传统,朝鲜王朝汉文与训民正音转型,P1,龙飞御天歌|训民正音
朝鲜半岛文学传统,时调,P0,时调选|黄真伊时调
朝鲜半岛文学传统,古典英雄小说,P0,洪吉童传
朝鲜半岛文学传统,盘索里小说,P0,春香传
朝鲜半岛文学传统,古典长篇小说,P1,九云梦|谢氏南征记
朝鲜半岛文学传统,近代启蒙小说,P0,无情
朝鲜半岛文学传统,殖民时期现代诗歌,P1,杜鹃花|金素月诗选
朝鲜半岛文学传统,殖民时期现代小说,P1,翅膀|故乡
朝鲜半岛文学传统,战后分断文学,P0,广场|该隐的后裔
朝鲜半岛文学传统,工业化与民主化文学,P1,客地|矮子射上来的小球
朝鲜半岛文学传统,当代韩国文学,P0,素食者|82年生的金智英
