file,title,author,current_t,note_year,master_id,master_time,suggested_t,status,confidence,evidence,verification_status,id,manual_status,manual_suggested_t,manual_confidence,manual_note
Darangen.md,Darangen,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1352,REVIEW,,MEDIUM,口传史诗传统年代缺少足够精确的文本定型依据；“古老”不能直接等同T0
Diné Bahaneʼ：纳瓦霍创世故事.md,Diné Bahaneʼ：纳瓦霍创世故事,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1354,REVIEW,,HIGH,作品实体代表口传传统还是现代记录本需先明确；不能因创世神话题材直接归T0
Kumulipo.md,Kumulipo,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1358,MOVE,T2,HIGH,夏威夷创世颂歌通常与17—18世纪王族传统相关，不能按神话内容归T0
Ozidi Saga.md,Ozidi Saga,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1363,REVIEW,,MEDIUM,口传史诗与20世纪记录文本需区分实体口径；T0依据不足
云使.md,云使,迦梨陀娑,T0,,CANON-227,约4—5世纪,T0,PASS,HIGH,CANON-227 首次成书_出版时间=约4—5世纪,手工核验,WL-WORK-3176,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
今昔物语集.md,今昔物语集,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1398,MOVE,T1,HIGH,约12世纪日本说话集，属于中古文学世界
以诺一书.md,以诺一书,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1399,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
伊利亚特.md,伊利亚特,荷马,T0,,CANON-002,约前8世纪,T0,PASS,HIGH,CANON-002 首次成书_出版时间=约前8世纪,自动通过,WL-WORK-0581,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
伊南娜下降冥界.md,伊南娜下降冥界,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1401,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
伊南娜与杜穆兹.md,伊南娜与杜穆兹,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1402,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
会饮篇.md,会饮篇,柏拉图,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2017,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
但以理书.md,但以理书,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1404,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
俄狄浦斯王.md,俄狄浦斯王,索福克勒斯,T0,,CANON-005,约前429,T0,PASS,HIGH,CANON-005 首次成书_出版时间=约前429,自动通过,WL-WORK-1408,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
俄瑞斯忒亚.md,俄瑞斯忒亚,埃斯库罗斯,T0,,CANON-004,前458,T0,PASS,HIGH,CANON-004 首次成书_出版时间=前458,需复核,WL-WORK-2809,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
凯雷特史诗.md,凯雷特史诗,佚名,T0,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1413,PASS,T0,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
