file,id,title,title_original,author,author_original,year,axis_t_raw,valid_t,invalid_t,status,suggested_t,special_hint,reason,verification_status,bibliography_status,canon_id
1914 and Other Poems.md,WL-WORK-1931,1914 and Other Poems,,鲁珀特·布鲁克,Rupert Brooke,,T4 全球现代主义时代,T4,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
1984.md,WL-WORK-0488,1984,,乔治·奥威尔,George Orwell,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,,CANON-142
1988：我想和这个世界谈谈.md,WL-WORK-2667,1988：我想和这个世界谈谈,,韩寒,,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,个人补录,metadata_pending,
1Q84.md,WL-WORK-2668,1Q84,,村上春树,,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,个人补录,metadata_pending,
2001：太空漫游.md,WL-WORK-0309,2001：太空漫游,,阿瑟·克拉克,,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,,
2312.md,WL-WORK-2951,2312,2312,金·斯坦利·罗宾逊,Kim Stanley Robinson,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,需复核,metadata_pending,
24个比利.md,WL-WORK-2765,24个比利,,丹尼尔·凯斯,,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,个人补录,metadata_pending,
2666.md,WL-WORK-1522,2666,,波拉尼奥,,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
64.md,WL-WORK-0174,64,,横山秀夫,,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,,
82年生的金智英.md,WL-WORK-2669,82年生的金智英,,赵南柱,,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,个人补录,metadata_pending,
A Bollywood Affair.md,WL-WORK-1932,A Bollywood Affair,,索纳利·德夫,Sonali Dev,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
A Boy's Own Story.md,WL-WORK-0913,A Boy's Own Story,,埃德蒙·怀特,Edmund White,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
A Chegada de Lampião no Inferno.md,WL-WORK-2151,A Chegada de Lampião no Inferno,,何塞·帕切科,José Pacheco,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
A Court of Thorns and Roses.md,WL-WORK-1933,A Court of Thorns and Roses,,萨拉·J.马斯,Sarah J. Maas,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
A General History of the Pyrates.md,WL-WORK-2152,A General History of the Pyrates,,查尔斯·约翰逊船长,Captain Charles Johnson,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
A Gentleman of France.md,WL-WORK-2153,A Gentleman of France,,斯坦利·韦曼,Stanley Weyman,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
A Gest of Robyn Hode.md,WL-WORK-2154,A Gest of Robyn Hode,,佚名,,,,,,MISSING_T_REVIEW_NO_YEAR,,anonymous_or_oral,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
A Head Full of Ghosts.md,WL-WORK-0489,A Head Full of Ghosts,,保罗·特朗布莱,Paul Tremblay,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
A Hunger Like No Other.md,WL-WORK-1934,A Hunger Like No Other,,克雷斯莉·科尔,Kresley Cole,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
A Knight's Own Book of Chivalry.md,WL-WORK-2155,A Knight's Own Book of Chivalry,,若弗鲁瓦·德·沙尔尼,Geoffroi de Charny,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
A Lady's Life in the Rocky Mountains.md,WL-WORK-1342,A Lady's Life in the Rocky Mountains,,伊莎贝拉·伯德,Isabella Bird,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
A Long Way Gone.md,WL-WORK-1935,A Long Way Gone,,伊斯梅尔·比亚,Ishmael Beah,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
A Man Called Horse.md,WL-WORK-2156,A Man Called Horse,,多萝西·M.约翰逊,Dorothy M. Johnson,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
A New Voyage Round the World.md,WL-WORK-0490,A New Voyage Round the World,,威廉·丹皮尔,William Dampier,,T2 早期现代文学,T2,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
A Princess in Theory.md,WL-WORK-1936,A Princess in Theory,,艾莉莎·科尔,Alyssa Cole,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
A Rumor of War.md,WL-WORK-1937,A Rumor of War,,菲利普·卡普托,Philip Caputo,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
