ID,作品中文常用名,Original_or_English_Title,作者中文名,Author,国家_文学传统,原始语言,首次成书_出版时间,时代,体裁,主题_类型标签,Canon_Level,Academic_Canon,Global_Influence,Traditional_Recognition,经典化理由,方法学依据,建议阅读优先级,个人状态,方法学参考来源URL
CANON-001,吉尔伽美什史诗,The Epic of Gilgamesh,佚名,Anonymous,古代美索不达米亚,阿卡德语,约前2100—前1200,古代,史诗,英雄史诗;死亡;文明,Core,高,高,高,世界现存最早的重要史诗传统之一,跨文化正典共识；世界文学史长期稳定；跨国作家/经典丛书/学术教学多源交叉,1,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-002,伊利亚特,The Iliad,荷马,Homer,古希腊,古希腊语,约前8世纪,古代,史诗,战争;英雄;命运,Core,高,高,高,西方史诗与叙事传统的基础文本,跨文化正典共识；世界文学史长期稳定；跨国作家/经典丛书/学术教学多源交叉,1,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-003,奥德赛,The Odyssey,荷马,Homer,古希腊,古希腊语,约前8世纪,古代,史诗,冒险;归乡;英雄,Core,高,高,高,冒险与归乡母题的奠基性作品,跨文化正典共识；世界文学史长期稳定；跨国作家/经典丛书/学术教学多源交叉,1,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-004,俄瑞斯忒亚,The Oresteia,埃斯库罗斯,Aeschylus,古希腊,古希腊语,前458,古代,戏剧三部曲,悲剧;复仇;法与秩序,Major,高,高,中,古希腊悲剧保存最完整的三部曲,国家或时期核心正典；经典丛书与文学史长期稳定；跨文化影响较强,2,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-005,俄狄浦斯王,Oedipus Rex,索福克勒斯,Sophocles,古希腊,古希腊语,约前429,古代,戏剧,悲剧;命运;认知,Core,高,高,高,悲剧结构与命运主题的核心范本,跨文化正典共识；世界文学史长期稳定；跨国作家/经典丛书/学术教学多源交叉,1,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-006,安提戈涅,Antigone,索福克勒斯,Sophocles,古希腊,古希腊语,约前441,古代,戏剧,悲剧;法律;伦理,Major,高,高,中,个人伦理与国家法律冲突的经典文本,国家或时期核心正典；经典丛书与文学史长期稳定；跨文化影响较强,2,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-007,美狄亚,Medea,欧里庇得斯,Euripides,古希腊,古希腊语,前431,古代,戏剧,悲剧;家庭;复仇,Major,高,高,中,古希腊悲剧中最具现代性的作品之一,国家或时期核心正典；经典丛书与文学史长期稳定；跨文化影响较强,2,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-008,埃涅阿斯纪,The Aeneid,维吉尔,Virgil,古罗马,拉丁语,前29—前19,古代,史诗,帝国;命运;英雄,Core,高,高,中,拉丁文学最重要的史诗之一,跨文化正典共识；世界文学史长期稳定；跨国作家/经典丛书/学术教学多源交叉,1,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-009,变形记（奥维德）,Metamorphoses,奥维德,Ovid,古罗马,拉丁语,约8,古代,叙事诗,神话;变形;欲望,Core,高,高,中,欧洲神话、艺术与文学母题的重要源头,跨文化正典共识；世界文学史长期稳定；跨国作家/经典丛书/学术教学多源交叉,1,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
CANON-010,约伯记,Book of Job,佚名,Anonymous,古代希伯来,希伯来语,约前7—前4世纪,古代,诗性叙事,苦难;信仰;正义,Core,高,高,中,宗教文学与苦难书写的经典文本,跨文化正典共识；世界文学史长期稳定；跨国作家/经典丛书/学术教学多源交叉,1,未标记,https://www.theguardian.com/world/2002/may/08/books.booksnews; https://www.penguin.co.uk/penguin-classics/classics-list; https://academic.oup.com/products-for-institutions/pages/purchase-oxford-worlds-classics; https://sites.prh.com/modern-library-top-100
