file,title,author,current_t,note_year,master_id,master_time,suggested_t,status,confidence,evidence,verification_status,id,manual_status,manual_suggested_t,manual_confidence,manual_note
Captain Singleton.md,Captain Singleton,丹尼尔·笛福,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2182,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
Kumulipo.md,Kumulipo,佚名,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1358,MOVE,T2,HIGH,夏威夷创世颂歌通常与17—18世纪王族传统相关，不能按神话内容归T0
Moll Flanders.md,Moll Flanders,丹尼尔·笛福,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2285,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
三国演义.md,三国演义,罗贯中,T2,,CANON-030,14世纪,T1,MOVE_CANDIDATE,HIGH,CANON-030 首次成书_出版时间=14世纪,手工核验,WL-WORK-0965,PASS,T2,HIGH,故事/素材较早，但现存长篇小说的成型与刊刻主要按明代16世纪文本体系处理；保留T2
乌多尔弗的秘密.md,乌多尔弗的秘密,安·拉德克利夫,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0570,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
乌托邦.md,乌托邦,托马斯·莫尔,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0257,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
九云梦.md,九云梦,金万重,T2,,CANON-060,约1687,T2,PASS,HIGH,CANON-060 首次成书_出版时间=约1687,需复核,WL-WORK-2820,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
仲夏夜之梦.md,仲夏夜之梦,莎士比亚,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2010,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
伪君子.md,伪君子,莫里哀,T2,1664,CANON-076,1664,T2,PASS,HIGH,note.year=1664,手工核验,WL-WORK-2830,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
儒林外史.md,儒林外史,吴敬梓,T2,,CANON-036,约1750,T2,PASS,HIGH,CANON-036 首次成书_出版时间=约1750,手工核验,WL-WORK-2815,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
克拉丽莎.md,克拉丽莎,塞缪尔·理查逊,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2020,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
克莱芙王妃.md,克莱芙王妃,拉法耶特夫人,T2,,CANON-079,1678,T2,PASS,HIGH,CANON-079 首次成书_出版时间=1678,自动通过,WL-WORK-0995,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
卢济塔尼亚人之歌.md,卢济塔尼亚人之歌,路易斯·德·卡蒙斯,T2,,CANON-218,1572,T2,PASS,HIGH,CANON-218 首次成书_出版时间=1572,需复核,WL-WORK-3168,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
印卡王室述评.md,印卡王室述评,印加·加尔西拉索·德拉维加,T2,1609,,,T2,PASS,HIGH,note.year=1609,手工核验,WL-WORK-1606,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
危险关系.md,危险关系,拉克洛,T2,,CANON-085,1782,T2,PASS,HIGH,CANON-085 首次成书_出版时间=1782,自动通过,WL-WORK-2031,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
厌世者.md,厌世者,莫里哀,T2,,CANON-077,1666,T2,PASS,HIGH,CANON-077 首次成书_出版时间=1666,需复核,WL-WORK-2831,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
后水浒传.md,后水浒传,陈忱,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2478,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
哈姆雷特.md,哈姆雷特,威廉·莎士比亚,T2,1600,CANON-069,约1600—1601,T2,PASS,HIGH,note.year=1600,手工核验,WL-WORK-2825,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
堂吉诃德.md,堂吉诃德,塞万提斯,T2,1605,CANON-068,1605/1615,T2,PASS,HIGH,note.year=1605,手工核验,WL-WORK-1042,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
失乐园（弥尔顿）.md,失乐园,约翰·弥尔顿,T2,1667,CANON-075,1667,T2,PASS,HIGH,note.year=1667,手工核验,WL-WORK-T2-PARADISE-LOST,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
奇兰巴兰书.md,奇兰巴兰书,佚名,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1438,MOVE,T2,HIGH,尤卡坦玛雅《奇兰巴兰书》主要写定于17—18世纪殖民时期
奥之细道.md,奥之细道,松尾芭蕉,T2,1702,CANON-050,1702,T2,PASS,HIGH,note.year=1702,手工核验,WL-WORK-1440,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
奥赛罗.md,奥赛罗,威廉·莎士比亚,T2,,CANON-072,约1603—1604,T2,PASS,HIGH,CANON-072 首次成书_出版时间=约1603—1604,需复核,WL-WORK-2828,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
好色一代男.md,好色一代男,井原西鹤,T2,1682,,,T2,PASS,HIGH,note.year=1682,手工核验,WL-WORK-T2-KOSHOKU-ICHIDAI-OTOKO,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
威廉·迈斯特的学习时代.md,威廉·迈斯特的学习时代,歌德,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1061,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
宿命论者雅克和他的主人.md,宿命论者雅克和他的主人,德尼·狄德罗,T2,,CANON-200,1796,T2,PASS,HIGH,CANON-200 首次成书_出版时间=1796,需复核,WL-WORK-3156,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
少年维特的烦恼.md,少年维特的烦恼,歌德,T2,,CANON-086,1774,T2,PASS,HIGH,CANON-086 首次成书_出版时间=1774,自动通过,WL-WORK-2055,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
巨人传.md,巨人传,弗朗索瓦·拉伯雷,T2,,CANON-212,1532—1564,T2,PASS,HIGH,CANON-212 首次成书_出版时间=1532—1564,需复核,WL-WORK-3164,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
巴布尔回忆录.md,巴布尔回忆录,巴布尔,T2,,,,,REVIEW,,缺少可靠年代证据,手工核验,WL-WORK-T2-BABURNAMA,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
帕梅拉.md,帕梅拉,塞缪尔·理查逊,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2061,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
征服新西班牙信史.md,征服新西班牙信史,贝尔纳尔·迪亚斯·德尔·卡斯蒂略,T2,,,,,REVIEW,,缺少可靠年代证据,手工核验,WL-WORK-1697,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
微型巨人.md,微型巨人,伏尔泰,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0261,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
意大利人.md,意大利人,安·拉德克利夫,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0697,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
感伤旅行.md,感伤旅行,劳伦斯·斯特恩,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1462,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
拉玛坚.md,拉玛坚,佚名,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1465,MOVE,T2,HIGH,泰国现存经典《拉玛坚》主要定型于18世纪末
新大西岛.md,新大西岛,弗朗西斯·培根,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0258,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
新爱洛伊丝.md,新爱洛伊丝,卢梭,T2,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2077,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
旅行书（埃夫利亚·切莱比）.md,旅行书,埃夫利亚·切莱比,T2,,,,,REVIEW,,缺少可靠年代证据,手工核验,WL-WORK-T2-SEYAHATNAME,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
春香传.md,春香传,佚名,T2,,CANON-059,约18—19世纪,T3,MOVE_CANDIDATE,HIGH,CANON-059 首次成书_出版时间=约18—19世纪,需复核,WL-WORK-2819,BOUNDARY,T2,MEDIUM,朝鲜口传/盘索里传统跨18—19世纪；当前T2可保留，但应标记T2/T3边界
暴风雨.md,暴风雨,威廉·莎士比亚,T2,,CANON-074,约1611,T2,PASS,HIGH,CANON-074 首次成书_出版时间=约1611,需复核,WL-WORK-2829,PASS,T2,MEDIUM,人工逐项核验：当前T轴归属与作品主要成书/文本形成时代相符
