file,code,priority,tradition,tradition_source,stage,role,axis_t,axis_r,axis_m,axis_g,axis_q
1914 and Other Poems.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T4 全球现代主义时代 · 战争危机、现代主义与先锋实验,区域扩展阅读,T4 全球现代主义时代,R4 欧洲文学,M3 现代主义与先锋派,G3 小说,QH6 战争、暴力与创伤
1984.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战后重建、记忆政治与后现代转型,文类形成与区域典范,T5 二战后多极文学,R4 欧洲文学,M4 政治、民族与文化运动,G3 小说,QT2 科幻 | QT6 乌托邦、反乌托邦与社会想象 | QH1 自我、存在与生命 | QH5 权力、制度与秩序
1988：我想和这个世界谈谈.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 都市经验、媒介转型与跨国传播,区域扩展阅读,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH1 自我、存在与生命 | QH2.3 家庭与家族 | QH2.5 童年与成长
1Q84.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 都市经验、媒介转型与跨国传播,区域扩展阅读,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH1 自我、存在与生命 | QH2.1 爱情与欲望 | QH2.5 童年与成长
2001：太空漫游.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战后重建、记忆政治与后现代转型,区域扩展阅读,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT2 科幻
2312.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 多元身份、数字媒介与全球传播,区域扩展阅读,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属
24个比利.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 多元身份、数字媒介与全球传播,区域扩展阅读,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH1 自我、存在与生命 | QH2.5 童年与成长 | QH3.1 性别与身体
2666.md,R6,△,拉丁美洲与加勒比综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 后独裁记忆、迁徙与跨国文学重组,区域扩展阅读,T6 当代全球文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属
64.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 都市经验、媒介转型与跨国传播,区域扩展阅读,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT1 推理与犯罪叙事
82年生的金智英.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 都市经验、媒介转型与跨国传播,区域扩展阅读,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH2.5 童年与成长 | QH3.1 性别与身体 | QH4 社会、阶级与劳动
