work,id,topic,priority,topic_affiliation,genealogy_position,topic_role,role_source
1492：对他者的遮蔽.md,WL-WORK-3238,M5.2,★,去殖民,20世纪后期殖民性与知识体系批判 · 核心形成与典范确立,核心典范与形式确立,priority_core
Afsaneh ／ 传说.md,WL-WORK-1523,M3.1,★,南亚、波斯与阿拉伯现代主义,殖民现代性与多语言文学转型 · 核心形成与典范确立,核心典范与形式确立,priority_core
Banalata Sen.md,WL-WORK-1524,M3.1,◆,南亚、波斯与阿拉伯现代主义,殖民现代性与多语言文学转型 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
BLAST 第1号.md,WL-WORK-M32-BLAST-u7b2c1-u53f7,M3.2,★,意象主义与漩涡主义,1910年代英语诗歌形式革新 · 理论化与范式确立,理论阐释与范式建构,mechanism_tag
Color.md,WL-WORK-1527,M3.1,◆,美国与Harlem Renaissance,美国现代主义与黑人文化复兴 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
Gestaltes en diere.md,WL-WORK-1530,M3.1,◆,殖民与跨国现代主义,全球现代主义的跨国流动与殖民经验 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
Greguerías.md,WL-WORK-1531,M3.1,◆,伊比利亚与意大利现代主义,南欧现代主义与先锋互动 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
Harmonium.md,WL-WORK-1532,M3.1,★,美国与Harlem Renaissance,美国现代主义与黑人文化复兴 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
J. Alfred Prufrock的情歌.md,WL-WORK-1533,M3.1,★,英国—爱尔兰现代主义,英爱高峰现代主义与形式革新 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
L'Allegria.md,WL-WORK-1534,M3.1,◆,伊比利亚与意大利现代主义,南欧现代主义与先锋互动 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
Minty Alley.md,WL-WORK-1536,M3.1,◆,殖民与跨国现代主义,全球现代主义的跨国流动与殖民经验 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
Observations.md,WL-WORK-1537,M3.1,◆,美国与Harlem Renaissance,美国现代主义与黑人文化复兴 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
