work,id,t,history_position,stage,historical_role,mechanisms,history_source,stage_source,role_source,mechanism_source,needs_reading_calibration
1914 and Other Poems.md,WL-WORK-1931,T4,政治极化、反殖民与战时转型，以“世界大战、革命与政治极化”为主要路径的转折节点（读前预判）,1930—1945：政治极化、反殖民与战时转型,转折,世界大战、革命与政治极化 | 小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,mechanism,existing,yes
1984.md,WL-WORK-0488,T5,废墟、罪责与重新开始，以“Cold War”为主要路径的转折节点（读前预判）,1945—1955：废墟、罪责与重新开始,转折,Cold War | 科技与现代社会,generated_from_generic,existing,stage,existing,yes
1988：我想和这个世界谈谈.md,WL-WORK-2667,T6,全球化出版与离散写作扩张，以“身份、性别与代表权”为主要路径的边缘突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,边缘突破,身份、性别与代表权 | 记忆、创伤与历史重写 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
1Q84.md,WL-WORK-2668,T6,全球化出版与离散写作扩张，以“身份、性别与代表权”为主要路径的边缘突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,边缘突破,身份、性别与代表权 | 记忆、创伤与历史重写 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
2001：太空漫游.md,WL-WORK-0309,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
2312.md,WL-WORK-2951,T6,全球化出版与离散写作扩张，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
24个比利.md,WL-WORK-2765,T6,全球化出版与离散写作扩张，以“身份、性别与代表权”为主要路径的边缘突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,边缘突破,身份、性别与代表权 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
2666.md,WL-WORK-1522,T6,全球化出版与离散写作扩张，以“全球市场、翻译与奖项”为主要路径的扩散节点（读前预判）,1991—2008：全球化出版与离散写作扩张,扩散,全球市场、翻译与奖项,generated_from_generic,existing,stage,existing,yes
64.md,WL-WORK-0174,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,记忆、创伤与历史重写 | 类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
82年生的金智英.md,WL-WORK-2669,T6,全球化出版与离散写作扩张，以“身份、性别与代表权”为主要路径的边缘突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,边缘突破,身份、性别与代表权 | 记忆、创伤与历史重写 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
A Boy's Own Story.md,WL-WORK-0913,T6,全球化出版与离散写作扩张，以“身份、性别与代表权”为主要路径的边缘突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,边缘突破,身份、性别与代表权 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
A Court of Thorns and Roses.md,WL-WORK-1933,T6,全球化出版与离散写作扩张，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
A General History of the Pyrates.md,WL-WORK-2152,T2,宫廷、城市、巴洛克与全球接触，以“印刷、书籍市场与读者扩大”为主要路径的成熟节点（读前预判）,1600—1700：宫廷、城市、巴洛克与全球接触,成熟,印刷、书籍市场与读者扩大 | 帝国、航海、殖民与旅行书写,generated_from_generic,existing,stage,existing,yes
A Head Full of Ghosts.md,WL-WORK-0489,T6,全球危机、平台化与类型融合，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,2008—2020：全球危机、平台化与类型融合,形式突破,类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
A Hunger Like No Other.md,WL-WORK-1934,T6,全球化出版与离散写作扩张，以“身份、性别与代表权”为主要路径的边缘突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,边缘突破,身份、性别与代表权 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
A Lady's Life in the Rocky Mountains.md,WL-WORK-1342,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的跨区域转译节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,跨区域转译,报刊、连载与大众读者 | 职业作者、版权与文学市场 | 翻译、帝国与跨洋市场,generated_from_generic,existing,mechanism,existing,yes
A Long Way Gone.md,WL-WORK-1935,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的反拨节点（读前预判）,1991—2008：全球化出版与离散写作扩张,反拨,记忆、创伤与历史重写 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
A Man Called Horse.md,WL-WORK-2156,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
A New Voyage Round the World.md,WL-WORK-0490,T2,宫廷、城市、巴洛克与全球接触，以“印刷、书籍市场与读者扩大”为主要路径的成熟节点（读前预判）,1600—1700：宫廷、城市、巴洛克与全球接触,成熟,印刷、书籍市场与读者扩大 | 帝国、航海、殖民与旅行书写,generated_from_generic,existing,stage,existing,yes
