work,id,t,axis_t,axis_r,axis_m,axis_g,axis_q,priority,axis_t_source,axis_r_source,axis_m_source,axis_g_source,axis_q_source,priority_source
1914 and Other Poems.md,WL-WORK-1931,T4,T4 全球现代主义时代,R4 欧洲文学,M3 现代主义与先锋派,G3 小说,QH6 战争、暴力与创伤,★,existing,existing,existing,existing,existing,existing
1984.md,WL-WORK-0488,T5,T5 二战后多极文学,R4 欧洲文学,M4 政治、民族与文化运动,G3 小说,QT2 科幻 | QT6 乌托邦、反乌托邦与社会想象 | QH1 自我、存在与生命 | QH5 权力、制度与秩序,★,existing,existing,existing,existing,existing,existing
1988：我想和这个世界谈谈.md,WL-WORK-2667,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH1 自我、存在与生命 | QH2.3 家庭与家族 | QH2.5 童年与成长,△,existing,existing,existing,existing,existing,existing
1Q84.md,WL-WORK-2668,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH1 自我、存在与生命 | QH2.1 爱情与欲望 | QH2.5 童年与成长,△,existing,existing,existing,existing,existing,existing
2001：太空漫游.md,WL-WORK-0309,T5,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT2 科幻,△,existing,existing,existing,existing,existing,existing
2312.md,WL-WORK-2951,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
24个比利.md,WL-WORK-2765,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH1 自我、存在与生命 | QH2.5 童年与成长 | QH3.1 性别与身体,△,existing,existing,existing,existing,existing,existing
2666.md,WL-WORK-1522,T6,T6 当代全球文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,★,existing,existing,existing,existing,t_default,existing
64.md,WL-WORK-0174,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT1 推理与犯罪叙事,△,existing,existing,existing,existing,existing,existing
82年生的金智英.md,WL-WORK-2669,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH2.5 童年与成长 | QH3.1 性别与身体 | QH4 社会、阶级与劳动,△,existing,existing,existing,existing,existing,existing
A Boy's Own Story.md,WL-WORK-0913,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH2.5 童年与成长,★,existing,existing,existing,existing,existing,existing
A Court of Thorns and Roses.md,WL-WORK-1933,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望,△,existing,existing,existing,existing,existing,existing
A General History of the Pyrates.md,WL-WORK-2152,T2,T2 早期现代文学,R4 欧洲文学,M1 早期现代思想与美学,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.8 海盗,★,existing,existing,existing,existing,existing,existing
A Head Full of Ghosts.md,WL-WORK-0489,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT4 恐怖与哥特,★,existing,existing,existing,existing,existing,existing
A Hunger Like No Other.md,WL-WORK-1934,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望,◆,existing,existing,existing,existing,existing,existing
A Lady's Life in the Rocky Mountains.md,WL-WORK-1342,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G6 纪实与文学非虚构,QT14 旅行与游记,★,existing,existing,existing,existing,existing,existing
A Long Way Gone.md,WL-WORK-1935,T6,T6 当代全球文学,R7 非洲文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,△,existing,existing,existing,existing,existing,existing
A Man Called Horse.md,WL-WORK-2156,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,★,existing,existing,existing,existing,existing,existing
A New Voyage Round the World.md,WL-WORK-0490,T2,T2 早期现代文学,R4 欧洲文学,M1 早期现代思想与美学,G3 小说,QT5 冒险与探索叙事 | QT8 英雄、边疆与法外者文化传统 | QT8.8 海盗,★,existing,existing,existing,existing,existing,existing
A Princess in Theory.md,WL-WORK-1936,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望,★,existing,existing,existing,existing,existing,existing
A Rumor of War.md,WL-WORK-1937,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,△,existing,existing,existing,existing,existing,existing
A Small Place.md,WL-WORK-1343,T6,T6 当代全球文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G6 纪实与文学非虚构,QT14 旅行与游记,★,existing,existing,existing,existing,existing,existing
A Time of Gifts.md,WL-WORK-1344,T5,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G6 纪实与文学非虚构,QT14 旅行与游记,★,existing,existing,existing,existing,existing,existing
A Tour on the Prairies.md,WL-WORK-2157,T3,T3 19世纪现代文学体系,R5 北美文学,M2 19世纪文学思潮,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,△,existing,existing,existing,existing,existing,existing
A Woman's Journey Round the World.md,WL-WORK-1345,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G6 纪实与文学非虚构,QT14 旅行与游记,★,existing,existing,existing,existing,existing,existing
ABC谋杀案.md,WL-WORK-0025,T4,T4 全球现代主义时代,R4 欧洲文学,M3 现代主义与先锋派,G3 小说,QT1 推理与犯罪叙事,△,existing,existing,existing,existing,existing,existing
Across the Black Waters.md,WL-WORK-1938,T4,T4 全球现代主义时代,R3 南亚文学,M3 现代主义与先锋派,G3 小说,QH6 战争、暴力与创伤,△,existing,existing,existing,existing,existing,existing
All You Need Is Kill.md,WL-WORK-0418,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT2 科幻,△,existing,existing,existing,existing,existing,existing
Allan Quatermain.md,WL-WORK-0492,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QT5 冒险与探索叙事,△,existing,existing,existing,existing,existing,existing
